Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
NQU24,"08/25/2024 21:00",20037.75,20046,20024.5,20032.25,-6.,-0.03%,1358,N/A
NQU24,"08/25/2024 20:30",20052.25,20059.5,20035,20038.25,-14.5,-0.07%,1702,N/A
NQU24,"08/25/2024 20:00",20042.25,20067,20040.25,20052.75,11.5,+0.06%,1986,N/A
NQU24,"08/25/2024 19:30",20007,20050.75,20005,20041.25,34.75,+0.17%,2400,N/A
NQU24,"08/25/2024 19:00",19999,20022.5,19986,20006.5,8.75,+0.04%,2599,N/A
NQU24,"08/25/2024 18:30",19972.75,19998.5,19966.25,19997.75,24.5,+0.12%,1595,N/A
NQU24,"08/25/2024 18:00",19972.75,19984,19951.25,19973.25,0.75,0.00%,2610,N/A
NQU24,"08/25/2024 17:30",20038.75,20045,19966.5,19972.5,-66.75,-0.33%,3205,N/A
NQU24,"08/25/2024 17:00",20022.75,20067.5,20011.5,20039.25,27.5,+0.14%,3166,N/A
NQU24,"08/23/2024 15:30",20028.25,20028.25,20009,20011.75,-16.5,-0.08%,2447,N/A
NQU24,"08/23/2024 15:00",20024.25,20032.5,20007.25,20028.25,4.25,+0.02%,8588,N/A
NQU24,"08/23/2024 14:30",20034.75,20046.25,19962.75,20024,-11.5,-0.06%,40900,N/A
NQU24,"08/23/2024 14:00",19973.75,20039.5,19940.75,20035.5,61.75,+0.31%,24423,N/A
NQU24,"08/23/2024 13:30",19986,20001.5,19957.75,19973.75,-12.5,-0.06%,16686,N/A
NQU24,"08/23/2024 13:00",19967.75,19995.75,19957.5,19986.25,18.5,+0.09%,17425,N/A
NQU24,"08/23/2024 12:30",19961,20003.75,19957.5,19967.75,7.75,+0.04%,22833,N/A
NQU24,"08/23/2024 12:00",19915.75,19967.5,19900.75,19960,44,+0.22%,20826,N/A
NQU24,"08/23/2024 11:30",19896.75,19936.75,19826.75,19916,19,+0.10%,34645,N/A
NQU24,"08/23/2024 11:00",19952.5,19960.25,19866.5,19897,-55.,-0.28%,33083,N/A
NQU24,"08/23/2024 10:30",20005.25,20053.25,19943,19952,-53.,-0.26%,36762,N/A
NQU24,"08/23/2024 10:00",19955,20037.25,19897.5,20005,50,+0.25%,51668,N/A
NQU24,"08/23/2024 09:30",20117.75,20128.5,19857.5,19955,-163.25,-0.81%,72672,N/A
NQU24,"08/23/2024 09:00",19989.75,20139.25,19986.5,20118.25,128.75,+0.64%,80019,N/A
NQU24,"08/23/2024 08:30",19990.25,19999.75,19941.5,19989.5,-1.5,-0.01%,44277,N/A
NQU24,"08/23/2024 08:00",19992,20013.25,19978.25,19991,-1.25,-0.01%,10230,N/A
NQU24,"08/23/2024 07:30",19963.25,19995.25,19960.75,19992.25,29.25,+0.15%,5453,N/A
NQU24,"08/23/2024 07:00",19972.5,19982.75,19954.5,19963,-9.75,-0.05%,3556,N/A
NQU24,"08/23/2024 06:30",19965.25,19976,19960,19972.75,8.25,+0.04%,2297,N/A
NQU24,"08/23/2024 06:00",19975.75,19981.25,19956.75,19964.5,-10.75,-0.05%,3333,N/A
NQU24,"08/23/2024 05:30",19953.25,19990,19952.5,19975.25,23,+0.12%,3560,N/A
NQU24,"08/23/2024 05:00",19950.75,19969.25,19950.5,19952.25,1.25,+0.01%,2363,N/A
NQU24,"08/23/2024 04:30",19940.25,19955,19939.25,19951,11.5,+0.06%,1587,N/A
NQU24,"08/23/2024 04:00",19948.5,19950,19920,19939.5,-8.75,-0.04%,2150,N/A
NQU24,"08/23/2024 03:30",19929,19948.25,19927,19948.25,18.75,+0.09%,2015,N/A
NQU24,"08/23/2024 03:00",19915,19935.25,19909,19929.5,14.5,+0.07%,2410,N/A
NQU24,"08/23/2024 02:30",19936.5,19940,19914.75,19915,-21.,-0.11%,1745,N/A
NQU24,"08/23/2024 02:00",19927.75,19943,19919,19936,8.5,+0.04%,2303,N/A
NQU24,"08/23/2024 01:30",19915.5,19930.5,19912.5,19927.5,12.25,+0.06%,1355,N/A
NQU24,"08/23/2024 01:00",19917.75,19927,19906.75,19915.25,-2.75,-0.01%,1221,N/A
NQU24,"08/23/2024 00:30",19923.25,19935.25,19912,19918,-5.5,-0.03%,1760,N/A
NQU24,"08/23/2024 00:00",19914,19927.75,19913,19923.5,10,+0.05%,646,N/A
NQU24,"08/22/2024 23:30",19917,19921,19911,19913.5,-4.25,-0.02%,768,N/A
NQU24,"08/22/2024 23:00",19901.5,19926.25,19900.5,19917.75,16.25,+0.08%,1531,N/A
NQU24,"08/22/2024 22:30",19886.75,19915.25,19886,19901.5,14.75,+0.07%,2392,N/A
NQU24,"08/22/2024 22:00",19885.75,19890,19881,19886.75,1.75,+0.01%,647,N/A
NQU24,"08/22/2024 21:30",19885.25,19887.5,19875.25,19885,1,+0.01%,1165,N/A
NQU24,"08/22/2024 21:00",19880.5,19892.5,19877.75,19884,4.25,+0.02%,835,N/A
NQU24,"08/22/2024 20:30",19891.75,19893,19875.75,19879.75,-13.,-0.07%,866,N/A
NQU24,"08/22/2024 20:00",19871.5,19894,19869.5,19892.75,20.25,+0.10%,1567,N/A
NQU24,"08/22/2024 19:30",19889.5,19892.5,19867.25,19872.5,-17.5,-0.09%,1673,N/A
NQU24,"08/22/2024 19:00",19873.75,19894,19873.75,19890,16.75,+0.08%,2046,N/A
NQU24,"08/22/2024 18:30",19859.25,19874,19855.25,19873.25,14.75,+0.07%,909,N/A
NQU24,"08/22/2024 18:00",19867.25,19874.75,19854.75,19858.5,-8.25,-0.04%,1561,N/A
NQU24,"08/22/2024 17:30",19858,19872.25,19857.5,19866.75,6.5,+0.03%,1440,N/A
NQU24,"08/22/2024 17:00",19856.5,19863,19847.5,19860.25,13,+0.07%,1578,N/A
NQU24,"08/22/2024 15:30",19841.5,19865,19837.75,19847.25,6,+0.03%,3563,N/A
NQU24,"08/22/2024 15:00",19820.5,19853.25,19801.75,19841.25,20.75,+0.10%,13564,N/A
NQU24,"08/22/2024 14:30",19817.25,19850.25,19777,19820.5,3.25,+0.02%,54691,N/A
NQU24,"08/22/2024 14:00",19845.5,19901,19811.25,19817.25,-28.,-0.14%,29277,N/A
NQU24,"08/22/2024 13:30",19895.75,19910,19839.75,19845.25,-50.25,-0.25%,25861,N/A
NQU24,"08/22/2024 13:00",19843,19897.25,19819,19895.5,52.5,+0.26%,27112,N/A
NQU24,"08/22/2024 12:30",19943.75,19951.75,19821.5,19843,-101.5,-0.51%,38613,N/A
NQU24,"08/22/2024 12:00",19942.5,19973.75,19911.25,19944.5,2.5,+0.01%,29700,N/A
NQU24,"08/22/2024 11:30",20049.25,20066.75,19927,19942,-107.,-0.53%,38749,N/A
NQU24,"08/22/2024 11:00",19946,20057.25,19939,20049,103,+0.52%,36480,N/A
NQU24,"08/22/2024 10:30",20045,20049.75,19899,19946,-98.75,-0.49%,58878,N/A
NQU24,"08/22/2024 10:00",20113.5,20150.5,20040.75,20044.75,-68.5,-0.34%,36838,N/A
NQU24,"08/22/2024 09:30",20151.25,20151.5,20089.5,20113.25,-38.,-0.19%,37790,N/A
NQU24,"08/22/2024 09:00",20212.5,20220.75,20118.25,20151.25,-59.75,-0.30%,58438,N/A
NQU24,"08/22/2024 08:30",20232.5,20260.25,20179.25,20211,-21.25,-0.11%,61816,N/A
NQU24,"08/22/2024 08:00",20219.5,20238.5,20215.75,20232.25,13,+0.06%,9007,N/A
NQU24,"08/22/2024 07:30",20200.5,20224.5,20172,20219.25,19,+0.09%,9765,N/A
NQU24,"08/22/2024 07:00",20211.75,20229.5,20191.25,20200.25,-11.5,-0.06%,6031,N/A
NQU24,"08/22/2024 06:30",20211.75,20217.5,20196.75,20211.75,0,0.00%,3443,N/A
NQU24,"08/22/2024 06:00",20191,20222.25,20186.5,20211.75,20.75,+0.10%,4761,N/A
NQU24,"08/22/2024 05:30",20173,20193,20172.25,20191,18.5,+0.09%,2646,N/A
NQU24,"08/22/2024 05:00",20151.25,20178.75,20147.75,20172.5,21.5,+0.11%,2007,N/A
NQU24,"08/22/2024 04:30",20158.25,20158.75,20147.75,20151,-7.5,-0.04%,1288,N/A
NQU24,"08/22/2024 04:00",20152.75,20171.25,20152,20158.5,6.75,+0.03%,1792,N/A
